1	1	root#SELECT	reduction
2	2	dmlStatement#SELECT	reduction
3	6	selectStatement#SELECT	reduction
4	15	querySpecification#SELECT	reduction
5	/	SELECT#SELECT	move
6	14	unionType#IDN	reduction
7	26	selectElements#IDN	reduction
8	28	selectElementHead#IDN	reduction
9	31	selectElement#IDN	reduction
10	49	fullColumnName#IDN	reduction
11	48	uid#IDN	reduction
12	/	IDN#IDN	move
13	51	dottedId#,	reduction
14	35	elementNameAlias#,	reduction
15	29	selectElementListRec#,	reduction
16	/	,#,	move
17	31	selectElement#IDN	reduction
18	49	fullColumnName#IDN	reduction
19	48	uid#IDN	reduction
20	/	IDN#IDN	move
21	51	dottedId#FROM	reduction
22	35	elementNameAlias#FROM	reduction
23	30	selectElementListRec#FROM	reduction
24	17	selectClause#FROM	reduction
25	18	fromClause#FROM	reduction
26	/	FROM#FROM	move
27	36	tableSources#IDN	reduction
28	39	tableSource#IDN	reduction
29	42	tableSourceItem#IDN	reduction
30	44	tableName#IDN	reduction
31	48	uid#IDN	reduction
32	/	IDN#IDN	move
33	35	elementNameAlias#WHERE	reduction
34	41	joinParts#WHERE	reduction
35	38	tableSourceListRec#WHERE	reduction
36	132	whereExpression#WHERE	reduction
37	/	WHERE#WHERE	move
38	58	expression#IDN	reduction
39	72	predicate#IDN	reduction
40	76	expressionAtom#IDN	reduction
41	49	fullColumnName#IDN	reduction
42	48	uid#IDN	reduction
43	/	IDN#IDN	move
44	51	dottedId#=	reduction
45	73	predicateRight#=	reduction
46	85	comparisonOperator#=	reduction
47	/	=#=	move
48	72	predicate#INT	reduction
49	75	expressionAtom#INT	reduction
50	80	constant#INT	reduction
51	84	decimalLiteral#INT	reduction
52	/	INT#INT	move
53	74	predicateRight##	reduction
54	61	expressionRight##	reduction
55	21	groupByClause##	reduction
56	23	havingClause##	reduction
57	25	orderByClause##	reduction
58	8	unionStatements##	reduction
59	/	#	accept
