1	1	root#SELECT	reduction
2	2	dmlStatement#SELECT	reduction
3	6	selectStatement#SELECT	reduction
4	15	querySpecification#SELECT	reduction
5	/	SELECT#SELECT	move
6	14	unionType#MIN	reduction
7	26	selectElements#MIN	reduction
8	28	selectElementHead#MIN	reduction
9	32	selectElement#MIN	reduction
10	100	functionCall#MIN	reduction
11	101	aggregateWindowedFunction#MIN	reduction
12	104	function#MIN	reduction
13	/	MIN#MIN	move
14	/	(#(	move
15	14	unionType#IDN	reduction
16	49	fullColumnName#IDN	reduction
17	48	uid#IDN	reduction
18	/	IDN#IDN	move
19	51	dottedId#)	reduction
20	/	)#)	move
21	34	elementNameAlias#AS	reduction
22	/	AS#AS	move
23	48	uid#IDN	reduction
24	/	IDN#IDN	move
25	29	selectElementListRec#,	reduction
26	/	,#,	move
27	31	selectElement#IDN	reduction
28	49	fullColumnName#IDN	reduction
29	48	uid#IDN	reduction
30	/	IDN#IDN	move
31	50	dottedId#.	reduction
32	/	.#.	move
33	52	dottedIdOrStar#IDN	reduction
34	48	uid#IDN	reduction
35	/	IDN#IDN	move
36	35	elementNameAlias#FROM	reduction
37	30	selectElementListRec#FROM	reduction
38	17	selectClause#FROM	reduction
39	18	fromClause#FROM	reduction
40	/	FROM#FROM	move
41	36	tableSources#(	reduction
42	39	tableSource#(	reduction
43	43	tableSourceItem#(	reduction
44	/	(#(	move
45	36	tableSources#IDN	reduction
46	39	tableSource#IDN	reduction
47	42	tableSourceItem#IDN	reduction
48	44	tableName#IDN	reduction
49	48	uid#IDN	reduction
50	/	IDN#IDN	move
51	35	elementNameAlias#,	reduction
52	41	joinParts#,	reduction
53	37	tableSourceListRec#,	reduction
54	/	,#,	move
55	39	tableSource#IDN	reduction
56	42	tableSourceItem#IDN	reduction
57	44	tableName#IDN	reduction
58	48	uid#IDN	reduction
59	/	IDN#IDN	move
60	35	elementNameAlias#)	reduction
61	41	joinParts#)	reduction
62	38	tableSourceListRec#)	reduction
63	/	)#)	move
64	40	joinParts#RIGHT	reduction
65	107	joinPart#RIGHT	reduction
66	111	joinDirection#RIGHT	reduction
67	/	RIGHT#RIGHT	move
68	/	JOIN#JOIN	move
69	42	tableSourceItem#IDN	reduction
70	44	tableName#IDN	reduction
71	48	uid#IDN	reduction
72	/	IDN#IDN	move
73	34	elementNameAlias#AS	reduction
74	/	AS#AS	move
75	48	uid#IDN	reduction
76	/	IDN#IDN	move
77	/	ON#ON	move
78	58	expression#IDN	reduction
79	72	predicate#IDN	reduction
80	76	expressionAtom#IDN	reduction
81	49	fullColumnName#IDN	reduction
82	48	uid#IDN	reduction
83	/	IDN#IDN	move
84	50	dottedId#.	reduction
85	/	.#.	move
86	52	dottedIdOrStar#IDN	reduction
87	48	uid#IDN	reduction
88	/	IDN#IDN	move
89	73	predicateRight#=	reduction
90	85	comparisonOperator#=	reduction
91	/	=#=	move
92	72	predicate#IDN	reduction
93	76	expressionAtom#IDN	reduction
94	49	fullColumnName#IDN	reduction
95	48	uid#IDN	reduction
96	/	IDN#IDN	move
97	50	dottedId#.	reduction
98	/	.#.	move
99	52	dottedIdOrStar#IDN	reduction
100	48	uid#IDN	reduction
101	/	IDN#IDN	move
102	74	predicateRight##	reduction
103	61	expressionRight##	reduction
104	41	joinParts##	reduction
105	38	tableSourceListRec##	reduction
106	133	whereExpression##	reduction
107	21	groupByClause##	reduction
108	23	havingClause##	reduction
109	25	orderByClause##	reduction
110	8	unionStatements##	reduction
111	/	#	accept
