 ,WHERE,INT,ON,DEFAULT,SET,DELETE,INSERT,AVG,<=,<,ALL,JOIN,",",UNKNOWN,SUM,INTO,IDN,NULL,RIGHT,ORDER,TRUE,NOT,),(,VALUE,!=,FLOAT,>=,*,.,IS,<=>,UPDATE,UNION,FALSE,&&,LEFT,SELECT,FROM,XOR,MAX,=,MIN,OR,AND,HAVING,>,-,GROUP,!,AS,STRING,VALUES,DISTINCT,||,#
root, , , , , ,root->dmlStatement,root->dmlStatement, , , , , , , , , , , , , , , , ,root->dmlStatement, , , , , , , , ,root->dmlStatement, , , , ,root->dmlStatement, , , , , , , , , , , , , , , , , , 
dmlStatement, , , , , ,dmlStatement->deleteStatement,dmlStatement->insertStatement, , , , , , , , , , , , , , , , ,dmlStatement->selectStatement, , , , , , , , ,dmlStatement->updateStatement, , , , ,dmlStatement->selectStatement, , , , , , , , , , , , , , , , , , 
selectStatement, , , , , , , , , , , , , , , , , , , , , , , ,selectStatement->querySpecification unionStatements, , , , , , , , , , , , , ,selectStatement->querySpecification unionStatements, , , , , , , , , , , , , , , , , , 
unionStatements, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,unionStatements->unionStatement unionStatements, , , , , , , , , , , , , , , , , , , , , ,unionStatements->$
unionStatement, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,unionStatement->unionStatementKey unionStatementQuery, , , , , , , , , , , , , , , , , , , , , , 
unionStatementKey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,unionStatementKey->UNION unionType, , , , , , , , , , , , , , , , , , , , , , 
unionStatementQuery, , , , , , , , , , , , , , , , , , , , , , , ,unionStatementQuery->querySpecification, , , , , , , , , , , , , ,unionStatementQuery->querySpecification, , , , , , , , , , , , , , , , , , 
unionType, , , , , , , ,unionType->$, , ,unionType->ALL, , , ,unionType->$, ,unionType->$, , , , , , ,unionType->$, , , , ,unionType->$, , , , , , , , ,unionType->$, , ,unionType->$, ,unionType->$, , , , , , , , , , ,unionType->DISTINCT, , 
querySpecification, , , , , , , , , , , , , , , , , , , , , , , ,querySpecification->( querySpecification ), , , , , , , , , , , , , ,querySpecification->SELECT unionType selectElements selectClause, , , , , , , , , , , , , , , , , , 
selectClause, , , , , , , , , , , , , , , , , , , , , , ,selectClause->$, , , , , , , , , , ,selectClause->$, , , , ,selectClause->fromClause groupByClause havingClause orderByClause, , , , , , , , , , , , , , , , ,selectClause->$
